NAME                        VERSION           TYPE     
acl-libs                    2.3.2-r1          apk       
acme                        5.6.0             python    
alpine-baselayout           3.7.2-r1          apk       
alpine-baselayout-data      3.7.2-r1          apk       
alpine-keys                 2.6-r0            apk       
alpine-release              3.24.0-r0         apk       
annotated-types             0.7.0             python    
anyio                       0.0.0             python    
apk-tools                   3.0.6-r0          apk       
autocommand                 2.2.2             python    
backports-tarfile           1.2.0             python    
bind-libs                   9.20.23-r0        apk       
bind-tools                  9.20.23-r0        apk       
brotli-libs                 1.2.0-r1          apk       
busybox                     1.37.0-r31        apk       
busybox-binsh               1.37.0-r31        apk       
c-ares                      1.34.6-r0         apk       
ca-certificates-bundle      20260413-r0       apk       
certbot                     5.6.0             python    
certbot                     5.6.0-r0          apk       
certbot-dns-cloudflare      5.6.0             python    
certbot-dns-cloudflare      5.6.0-r0          apk       
certbot-pyc                 5.6.0-r0          apk       
certifi                     2026.2.25         python    
cffi                        2.0.0             python    
charset-normalizer          3.4.7             python    
cloudflare                  5.1.0             python    
configargparse              0.0.0             python    
configobj                   5.0.9             python    
cryptography                47.0.0            python    
curio                       1.6               python    
curl                        8.20.0-r1         apk       
dcron                       4.6-r0            apk       
distro                      1.9.0             python    
dos2unix                    7.5.5-r0          apk       
fail2ban                    1.1.0             python    
fail2ban                    1.1.0-r3          apk       
fail2ban-pyc                1.1.0-r3          apk       
fstrm                       0.6.1-r4          apk       
gdbm                        1.26-r0           apk       
h11                         0.16.0            python    
httpcore                    1.0.9             python    
httpx                       0.28.1            python    
idna                        3.16              python    
importlib-metadata          8.7.1             python    
iptables                    1.8.13-r0         apk       
jaraco-context              6.1.0             python    
jaraco-functools            4.4.0             python    
jaraco-text                 4.0.0             python    
josepy                      2.2.0             python    
json-c                      0.18-r1           apk       
keyutils-libs               1.6.3-r4          apk       
krb5-conf                   1.0-r2            apk       
krb5-libs                   1.22.2-r1         apk       
libapk                      3.0.6-r0          apk       
libbz2                      1.0.8-r6          apk       
libcom_err                  1.47.4-r0         apk       
libcrypto3                  3.5.6-r0          apk       
libcurl                     8.20.0-r1         apk       
libexpat                    2.8.1-r0          apk       
libffi                      3.5.2-r1          apk       
libgcc                      15.2.0-r5         apk       
libidn2                     2.3.8-r0          apk       
libmnl                      1.0.5-r2          apk       
libncursesw                 6.6_p20260516-r0  apk       
libnftnl                    1.3.1-r0          apk       
libpanelw                   6.6_p20260516-r0  apk       
libpsl                      0.21.5-r3         apk       
libssl3                     3.5.6-r0          apk       
libstdc++                   15.2.0-r5         apk       
libunistring                1.4.2-r0          apk       
libuv                       1.52.1-r0         apk       
libverto                    0.3.2-r2          apk       
libxml2                     2.13.9-r2         apk       
libxtables                  1.8.13-r0         apk       
logrotate                   3.22.0-r0         apk       
more-itertools              10.8.0            python    
mpdecimal                   4.0.1-r0          apk       
musl                        1.2.6-r2          apk       
musl-utils                  1.2.6-r2          apk       
ncurses-terminfo-base       6.6_p20260516-r0  apk       
nghttp2-libs                1.69.0-r0         apk       
nginx                       1.30.2-r1         apk       
openssl                     3.5.6-r0          apk       
packaging                   26.0              python    
packaging                   26.2              python    
parsedatetime               2.6               python    
pcre2                       10.47-r1          apk       
platformdirs                4.4.0             python    
popt                        1.19-r4           apk       
protobuf-c                  1.5.2-r2          apk       
py3-acme                    5.6.0-r0          apk       
py3-acme-pyc                5.6.0-r0          apk       
py3-annotated-types         0.7.0-r1          apk       
py3-annotated-types-pyc     0.7.0-r1          apk       
py3-anyio                   4.12.1-r1         apk       
py3-anyio-pyc               4.12.1-r1         apk       
py3-certifi                 2026.2.25-r1      apk       
py3-certifi-pyc             2026.2.25-r1      apk       
py3-cffi                    2.0.0-r0          apk       
py3-cffi-pyc                2.0.0-r0          apk       
py3-charset-normalizer      3.4.7-r0          apk       
py3-charset-normalizer-pyc  3.4.7-r0          apk       
py3-cloudflare              5.1.0-r0          apk       
py3-cloudflare-pyc          5.1.0-r0          apk       
py3-configargparse          1.7.5-r1          apk       
py3-configargparse-pyc      1.7.5-r1          apk       
py3-configobj               5.0.9-r2          apk       
py3-configobj-pyc           5.0.9-r2          apk       
py3-cparser                 3.0-r1            apk       
py3-cparser-pyc             3.0-r1            apk       
py3-cryptography            47.0.0-r0         apk       
py3-cryptography-pyc        47.0.0-r0         apk       
py3-curio                   1.6-r4            apk       
py3-curio-pyc               1.6-r4            apk       
py3-distro                  1.9.0-r4          apk       
py3-distro-pyc              1.9.0-r4          apk       
py3-distutils-extra         2.47-r4           apk       
py3-distutils-extra-pyc     2.47-r4           apk       
py3-h11                     0.16.0-r1         apk       
py3-h11-pyc                 0.16.0-r1         apk       
py3-httpcore                1.0.9-r1          apk       
py3-httpcore-pyc            1.0.9-r1          apk       
py3-httpx                   0.28.1-r1         apk       
py3-httpx-pyc               0.28.1-r1         apk       
py3-idna                    3.16-r0           apk       
py3-idna-pyc                3.16-r0           apk       
py3-josepy                  2.2.0-r0          apk       
py3-josepy-pyc              2.2.0-r0          apk       
py3-openssl                 26.1.0-r0         apk       
py3-openssl-pyc             26.1.0-r0         apk       
py3-packaging               26.2-r0           apk       
py3-packaging-pyc           26.2-r0           apk       
py3-parsedatetime           2.6-r9            apk       
py3-parsedatetime-pyc       2.6-r9            apk       
py3-parsing                 3.3.2-r1          apk       
py3-parsing-pyc             3.3.2-r1          apk       
py3-pydantic                2.12.5-r0         apk       
py3-pydantic-core           2.41.5-r0         apk       
py3-pydantic-core-pyc       2.41.5-r0         apk       
py3-pydantic-pyc            2.12.5-r0         apk       
py3-pyrfc3339               1.1-r11           apk       
py3-pyrfc3339-pyc           1.1-r11           apk       
py3-requests                2.33.1-r0         apk       
py3-requests-pyc            2.33.1-r0         apk       
py3-setuptools              82.0.1-r1         apk       
py3-setuptools-pyc          82.0.1-r1         apk       
py3-sniffio                 1.3.1-r2          apk       
py3-sniffio-pyc             1.3.1-r2          apk       
py3-typing-extensions       4.15.0-r1         apk       
py3-typing-extensions-pyc   4.15.0-r1         apk       
py3-typing-inspection       0.4.2-r1          apk       
py3-typing-inspection-pyc   0.4.2-r1          apk       
py3-tz                      2026.2-r0         apk       
py3-tz-pyc                  2026.2-r0         apk       
py3-urllib3                 2.7.0-r0          apk       
py3-urllib3-pyc             2.7.0-r0          apk       
pyc                         3.14.5-r0         apk       
pycparser                   3.0               python    
pydantic                    2.12.5            python    
pydantic-core               2.41.5            python    
pyopenssl                   26.1.0            python    
pyparsing                   3.3.2             python    
pyrfc3339                   1.1               python    
python-distutils-extra      2.39              python    
python3                     3.14.5-r0         apk       
python3-pyc                 3.14.5-r0         apk       
python3-pycache-pyc0        3.14.5-r0         apk       
pytz                        2026.2            python    
readline                    8.3.3-r1          apk       
requests                    2.33.1            python    
scanelf                     1.3.9-r1          apk       
setuptools                  82.0.1            python    
sniffio                     1.3.1             python    
sqlite-libs                 3.53.2-r0         apk       
ssl_client                  1.37.0-r31        apk       
tini                        0.19.0-r3         apk       
tomli                       2.4.0             python    
typing-extensions           4.15.0            python    
typing-inspection           0.4.2             python    
urllib3                     2.7.0             python    
userspace-rcu               0.15.3-r0         apk       
wheel                       0.46.3            python    
xz-libs                     5.8.3-r0          apk       
zipp                        3.23.0            python    
zlib                        1.3.2-r0          apk       
zstd-libs                   1.5.7-r2          apk
